"scenario_id","truth_class","n","design_layer","analysis_conclusion","status","overall_score","fragility_component","bootstrap_reproducibility","jackknife_stability"
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",62.2448979591837,24.4897959183673,100,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2040816326531,20.4081632653061,94,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",21.0204081632653,2.04081632653061,40,41.875
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",50.1632653061224,16.3265306122449,84,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",64.3061224489796,30.6122448979592,98,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",59.2448979591837,24.4897959183673,94,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",49.1020408163265,10.2040816326531,88,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2244897959184,22.4489795918367,92,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",65.3469387755102,34.6938775510204,96,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",30.0408163265306,4.08163265306122,56,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",65.3061224489796,30.6122448979592,100,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",44.1020408163265,10.2040816326531,78,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2448979591837,24.4897959183673,90,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",31.0408163265306,4.08163265306122,58,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",55.2040816326531,20.4081632653061,90,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",28.0612244897959,6.12244897959184,50,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",55.2040816326531,20.4081632653061,90,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",35.0408163265306,4.08163265306122,66,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",45.1224489795918,12.2448979591837,78,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",25.0204081632653,2.04081632653061,48,55.625
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",41.0408163265306,4.08163265306122,78,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",62.2857142857143,28.5714285714286,96,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",43.0612244897959,6.12244897959184,80,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",27.0204081632653,2.04081632653061,52,90.625
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",34.0612244897959,6.12244897959184,62,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",22.0204081632653,2.04081632653061,42,81.25
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",64.2857142857143,28.5714285714286,100,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",37.0408163265306,4.08163265306122,70,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",30.0204081632653,2.04081632653061,58,78.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",32.0612244897959,6.12244897959184,58,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",51.1632653061224,16.3265306122449,86,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",33.0408163265306,4.08163265306122,62,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",33.0408163265306,4.08163265306122,62,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",58.2244897959184,22.4489795918367,94,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",63.2857142857143,28.5714285714286,98,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",32.0204081632653,2.04081632653061,62,88.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",36.0612244897959,6.12244897959184,66,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",58.2244897959184,22.4489795918367,94,100
