"violation_type","auc_score","auc_p","delta_auc"
"allocation_2to1",0.6193,0.559788888888889,0.0595111111111111
"heavy_tails",0.418533333333333,0.431522222222222,-0.0129888888888889
"heteroscedastic",0.70955,0.711777777777778,-0.00222777777777772
"interaction",0.514088888888889,0.507622222222222,0.00646666666666673
"missing_baseline",0.523033333333333,0.547088888888889,-0.0240555555555555
