"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","poisson_core_null","poisson","null","non_significant",1000,10000,500,500,0,64.61,65.75,6.12,33.72,76.19,26,399,75,0,"complete"
"training","core","poisson_core_null","poisson","null","significant",1000,10000,500,500,0,51.93,54.16,8.33,27.75,71.34,280,218,2,0,"complete"
"training","core","poisson_core_offset","poisson","clear","non_significant",1000,10000,500,500,0,57.35,58.05,8.04,32.29,74.96,156,316,28,0,"complete"
"training","core","poisson_core_offset","poisson","clear","significant",1000,10000,500,500,0,60.66,61.16,9.49,29.19,89.68,110,319,71,0,"complete"
"training","stress","poisson_stress_overdispersion","poisson","borderline","non_significant",1000,10000,500,500,0,58.55,58.9,6.73,28.77,70.99,123,376,1,0,"complete"
"training","stress","poisson_stress_overdispersion","poisson","borderline","significant",1000,10000,500,500,0,56.84,56.82,8.13,30.41,76.22,189,291,20,0,"complete"
"validation","validation","poisson_smoke","poisson","clear","non_significant",1000,10000,500,500,0,57.13,57.83,8.12,31.9,73.47,160,331,9,0,"complete"
"validation","validation","poisson_smoke","poisson","clear","significant",1000,10000,500,500,0,60.16,59.88,8.16,27.42,83.78,102,350,48,0,"complete"
"validation","validation","poisson_validation_multidf","poisson","clear","significant",1000,10000,500,500,0,88.28,87.91,5.73,72.98,100,0,0,500,0,"incomplete"
