"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","binomial_core_logit","binomial","clear","non_significant",1000,10000,500,500,0,60.84,61.41,8.64,33.95,74.62,93,330,77,0,"complete"
"training","core","binomial_core_logit","binomial","clear","significant",1000,10000,500,500,0,58.35,59.43,11.55,26.63,81.78,145,307,48,0,"complete"
"training","core","binomial_core_null","binomial","null","non_significant",1000,10000,500,500,0,65.58,67.32,6.88,34.15,75.77,33,308,159,0,"complete"
"training","core","binomial_core_null","binomial","null","significant",1000,10000,500,500,0,52.48,54.94,11.35,25.77,77.96,252,242,6,0,"complete"
"training","stress","binomial_smoke","binomial","borderline","non_significant",1000,10000,500,500,0,58.76,59.21,8.73,33.82,74.1,136,332,32,0,"complete"
"training","stress","binomial_smoke","binomial","borderline","significant",1000,10000,500,500,0,60.81,61.35,9.9,25.98,86.95,90,341,69,0,"complete"
"training","stress","binomial_stress_separation","binomial","borderline",NA,1000,10000,0,0,10000,NA,NA,NA,NA,NA,0,0,0,10000,"incomplete"
"validation","validation","binomial_validation_multidf","binomial","clear","non_significant",1000,10000,500,500,0,57.6,57.93,7.87,32.36,71.7,162,328,10,0,"complete"
"validation","validation","binomial_validation_multidf","binomial","clear","significant",1000,10000,500,500,0,58.74,59.71,9.98,28,85,90,360,50,0,"complete"
