"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","proportion_smoke","proportion","clear","non_significant",1000,10000,499,499,0,63.48,62.54,8.35,36.7,84.9,92,296,111,1,"complete"
"training","core","proportion_smoke","proportion","clear","significant",1000,10000,500,500,0,63.12,66.94,16.62,26.88,98.4,74,238,188,1,"complete"
"training","stress","proportion_stress_fisher_null","proportion","null","non_significant",1000,10000,500,500,0,85.44,87.51,12.91,43.14,99.52,15,49,436,0,"incomplete"
"training","stress","proportion_stress_fisher_null","proportion","null","significant",1000,10000,336,336,0,65.17,64.19,19.2,28.09,100,133,78,125,0,"incomplete"
"training","stress","proportion_stress_prop_borderline","proportion","borderline","non_significant",1000,10000,500,500,0,74.72,76.13,12.67,36.78,99.42,19,155,326,0,"complete"
"training","stress","proportion_stress_prop_borderline","proportion","borderline","significant",1000,10000,500,500,0,64.11,66.68,19.36,28.38,99.94,105,180,215,0,"complete"
"validation","validation","proportion_validation_chisq_clear","proportion","clear","non_significant",1000,10000,500,500,0,60.72,61.23,10.61,35.15,86.76,117,292,91,0,"complete"
"validation","validation","proportion_validation_chisq_clear","proportion","clear","significant",1000,10000,500,500,0,71.79,72.84,14.51,28.06,100,36,185,279,0,"complete"
