"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","tost_core_borderline_near_margin","tost","borderline","equivalent",1000,10000,500,500,0,47.98,50.71,8.62,24.64,63.86,412,88,0,0,"complete"
"training","core","tost_core_borderline_near_margin","tost","borderline","not_equivalent",1000,10000,500,500,0,67.7,67.79,9.19,37.38,98.4,34,253,213,0,"complete"
"training","core","tost_core_outside_margin","tost","null","equivalent",1000,10000,9,9,0,45.72,48.38,12.62,28.3,58.64,6,3,0,0,"incomplete"
"training","core","tost_core_outside_margin","tost","null","not_equivalent",1000,10000,500,500,0,83.26,83.98,9.12,56.28,100,0,35,465,0,"incomplete"
"training","stress","tost_or_noninferiority","tost","clear","inferior",1000,10000,500,500,0,63.94,65.36,13.87,33.14,93.56,68,260,172,0,"complete"
"training","stress","tost_or_noninferiority","tost","clear","noninferior",1000,10000,500,500,0,62.76,62.29,8.18,44.38,92,108,303,89,0,"complete"
"training","core","tost_smoke","tost","clear","equivalent",1000,10000,500,500,0,49.11,51.84,8.32,23.72,64.28,411,89,0,0,"complete"
"training","core","tost_smoke","tost","clear","not_equivalent",1000,10000,500,500,0,58.18,58.48,7.79,36.68,99.2,135,343,22,0,"complete"
"validation","validation","tost_prop_equivalence","tost","clear","not_equivalent",1000,10000,500,500,0,100,100,0,100,100,0,0,500,0,"incomplete"
